股票代碼,3003,各持股等級股東之持股比例(%)
月份,400~800,800~1K,1K up
17M07,5.171,2.285,66.64
17M06,5.761,2.779,65.13
17M05,6.452,2.856,65.03
17M04,5.391,4.716,63.32
17M03,6.742,3.49,61.99
17M02,5.111,2.793,62.75
17M01,4.344,2.351,61.76
16M12,6.69,1.127,59.18
16M11,7.944,1.143,59.01
16M10,7.194,1.143,59.21
16M09,7.381,1.701,58.9
16M08,5.842,2.913,59.46
16M07,6.019,1.746,60.27
16M06,5.865,1.152,59.77
16M05,5.536,1.721,59.94
16M04,3.935,0.588,62.98
16M03,6.104,1.171,59.22
16M02,5.742,1.677,59.36
