股票代碼,3003,30天融資券使用率及餘額
日期,融資餘額(張),融資使用率(%),融券餘額(張),融券使用率(%)
07/17,"5,976",15.36,106,0.27
07/14,"5,891",15.14,102,0.26
07/13,"5,843",15.02,86,0.22
07/12,"5,777",14.85,54,0.14
07/11,"5,733",14.73,22,0.06
07/10,"5,828",14.98,0,0.00
07/07,"6,064",15.58,0,0.00
07/06,"6,076",15.61,0,0.00
07/05,"6,329",16.26,0,0.00
07/04,"6,235",16.02,26,0.07
07/03,"6,121",15.73,30,0.08
06/30,"6,063",15.58,110,0.28
06/29,"6,022",15.48,122,0.31
06/28,"6,069",15.60,126,0.32
06/27,"6,008",15.44,133,0.34
06/26,"6,035",15.51,185,0.48
06/23,"5,832",14.99,184,0.47
06/22,"5,814",14.94,191,0.49
06/21,"5,836",15.00,175,0.45
06/20,"5,918",15.21,195,0.50
06/19,"5,919",15.21,207,0.53
06/16,"5,917",15.21,213,0.55
06/15,"5,943",15.27,199,0.51
06/14,"5,749",14.77,184,0.47
06/13,"5,593",14.37,226,0.58
06/12,"5,492",14.11,223,0.57
06/09,"5,403",13.88,227,0.58
06/08,"5,460",14.03,210,0.54
06/07,"5,472",14.06,212,0.54
06/06,"5,512",14.16,217,0.56
