股票代碼,3003,一個月內股價
日期,開盤,收盤,漲跌(%)
2017/07/17,52.50,51.70,-0.19%
2017/07/14,51.90,51.80,-0.19%
2017/07/13,51.90,51.90,5.27%
2017/07/12,48.55,49.30,1.96%
2017/07/11,47.85,48.35,-1.63%
2017/07/10,49.60,49.15,-0.71%
2017/07/07,50.20,49.50,-1.20%
2017/07/06,49.95,50.10,0.60%
2017/07/05,49.40,49.80,1.22%
2017/07/04,49.35,49.20,1.03%
2017/07/03,47.75,48.70,1.99%
2017/06/30,47.50,47.75,0.32%
2017/06/29,47.80,47.60,0.00%
2017/06/28,47.40,47.60,0.00%
2017/06/27,47.90,47.60,1.17%
2017/06/26,46.55,47.05,1.07%
2017/06/23,46.80,46.55,-0.53%
2017/06/22,47.00,46.80,0.00%
2017/06/21,46.55,46.80,0.43%
2017/06/20,46.90,46.60,-0.11%
2017/06/19,47.05,46.65,-0.64%
